Business Name,Category,Website,Years in Business,Why Promising,Tier,Notes
Rydell Tailor Shop,Tailor,https://www.yelp.com/biz/rydell-tailor-shop-kansas-city,46+ (Est. 1978),Family-owned Brookside location,1,Check Yelp for contact info
Superior Upholstery LLC,Upholstery,https://superiorupholsteryllc.com/,44+ (Est. 1980),Family-owned since 1980 - CONTACTED,1,Already pitched - awaiting response
Otto Service,Auto Repair (Honda/Acura),https://ottoservicekc.com/,47+ (Est. 1977),Family-owned since 1977 specializing in Honda/Acura,1,Niche specialty shop
Wornall Automotive,Auto Repair,https://wornallautomotive.com/,46+ (Est. 1978),Established Waldo area shop,1,Napa Auto Care Center
Adams Dental,Dental,https://dentistkansascityks.com/,49+ (Est. 1975),"Known as ""the dentist in the little blue house""",1,Strong local brand story
George's Imports Ltd,Auto/Saab Specialist,https://kcsaab.net/,48+ (Est. 1976),Niche Saab specialty now services all makes,1,Martin City location
North Oak Animal Hospital,Veterinarian,https://northoakanimalhospital.com/,68+ (Est. 1956),Husband/wife owned since 2019 but practice since 1956,1,Strong heritage angle
Ramos Upholstery,Upholstery,https://ramosupholsterykc.com/,30+,30+ years serving KC,2,Check site quality
Minich's Auto Repair,Auto Repair,https://www.minichsautorepair.com/,25+,Female-owned family shop,2,Good story angle
Reller & Company CPA,Accounting,https://www.rellercpa.com/,Unknown,Local KC firm likely dated site,2,Research further
Ainsworth Accounting,Accounting,https://ainsworthaccounting.com/,Unknown,Small local CPA Lenexa,2,Research further
Alterations & Custom Sewing,Tailor,https://alterationsandcustomsewing.com/,43+ (Est. 1981),Excelsior Springs location,2,30 min from downtown KC
South KC Music Academy,Music Lessons,https://skcmusicacademy.com/,10+,Trusted by hundreds of families,2,Month-to-month model
Smithville Music Studio,Music Lessons,https://www.smithvillemusic.com/,Unknown,Growing Northland studio,2,Check site quality
Fountain of Life Chiropractic,Chiropractic,https://www.fountainoflifechiro.com/,Unknown,Family practice multiple doctors,3,Healthcare adjacent to your experience
Chiropractic Wellness Center,Chiropractic,https://www.cwc-familychiro.com,Unknown,Good reviews established practice,3,Healthcare adjacent
Modern Physical Therapy,Physical Therapy,https://www.modernpt.com/,Unknown,Parkville/KC location,3,Healthcare adjacent
Noah's Ark Animal Clinic,Veterinarian,https://noahsarkanimalclinic.com/,Unknown,Community-focused local practice,3,Check site quality
